d,model,num_iters
1,simple_cgp_prob,11
1,simple_cgp_prob,3
1,simple_cgp_prob,1
1,simple_cgp_prob,0
1,simple_cgp_prob,1
1,simple_cgp_prob,3
1,simple_cgp_prob,6
1,simple_cgp_prob,0
2,simple_cgp_prob,7
2,simple_cgp_prob,28
2,simple_cgp_prob,38
2,simple_cgp_prob,37
2,simple_cgp_prob,31
2,simple_cgp_prob,1
2,simple_cgp_prob,18
2,simple_cgp_prob,6
2,simple_cgp_prob,28
2,simple_cgp_prob,34
2,simple_cgp_prob,5
2,simple_cgp_prob,42
2,simple_cgp_prob,24
2,simple_cgp_prob,28
2,simple_cgp_prob,39
2,simple_cgp_prob,9
2,simple_cgp_prob,28
2,simple_cgp_prob,64
2,simple_cgp_prob,146
2,simple_cgp_prob,22
2,simple_cgp_prob,16
2,simple_cgp_prob,24
2,simple_cgp_prob,3
2,simple_cgp_prob,22
2,simple_cgp_prob,24
2,simple_cgp_prob,24
2,simple_cgp_prob,3
2,simple_cgp_prob,30
2,simple_cgp_prob,13
2,simple_cgp_prob,18
3,simple_cgp_prob,275
3,simple_cgp_prob,78
3,simple_cgp_prob,75
3,simple_cgp_prob,174
3,simple_cgp_prob,78
3,simple_cgp_prob,64
3,simple_cgp_prob,76
3,simple_cgp_prob,41
3,simple_cgp_prob,19
3,simple_cgp_prob,76
3,simple_cgp_prob,46
3,simple_cgp_prob,110
3,simple_cgp_prob,349
3,simple_cgp_prob,87
3,simple_cgp_prob,47
3,simple_cgp_prob,37
3,simple_cgp_prob,68
3,simple_cgp_prob,155
3,simple_cgp_prob,25
3,simple_cgp_prob,98
3,simple_cgp_prob,64
3,simple_cgp_prob,84
3,simple_cgp_prob,16
3,simple_cgp_prob,2
3,simple_cgp_prob,165
3,simple_cgp_prob,65
3,simple_cgp_prob,216
3,simple_cgp_prob,49
3,simple_cgp_prob,146
3,simple_cgp_prob,60
4,simple_cgp_prob,187
4,simple_cgp_prob,439
